id,phase,owner,area,route,screen,feature,status,new,test,acceptance
"HC-SH-014","1","Platform engineer","App shell, settings, tour, assistant, palette, alerts","/analyse","Shared chrome · App header (analyse)","Plan banner auto-inserted under the analyse header","working","no","e2e (Playwright)","If the screen has no data-cg=plan-banner placeholder the header appends one"
"HC-SH-015","1","Platform engineer","App shell, settings, tour, assistant, palette, alerts","/subscription","Shared chrome · App header (default)","Logo → /analyse (or / when logged out)","working","no","e2e (Playwright)","CG.chrome['app-header'] default variant used by every non-analyse logged-in page"
"HC-SH-016","1","Platform engineer","App shell, settings, tour, assistant, palette, alerts","/subscription","Shared chrome · App header (default)","Text tabs Analyse · Market Analytics · Subscription · Referrals · Admin with an amber underline on the active route","working","no","unit (pricing) · e2e (Playwright) · api contract · security","Replaces the 'Go to Analyse' button; active tab from CG.current.path (Market Analytics also active on /terminal/*)"
"HC-SH-017","1","Platform engineer","App shell, settings, tour, assistant, palette, alerts","/subscription","Shared chrome · App header (default)","'Market Analytics' tab (active state on /analytics/* and /terminal/*)","working","no","unit (pricing) · e2e (Playwright)","Navigates to /analytics; highlighted when current path starts with /analytics"
"HC-SH-018","1","Platform engineer","App shell, settings, tour, assistant, palette, alerts","/subscription","Shared chrome · App header (default)","'Admin' nav link + badge (admin only) → /admin/users","working","no","e2e (Playwright) · api contract · security","Only rendered when CG.auth.isAdmin()"
"HC-SH-019","5","Platform engineer","App shell, settings, tour, assistant, palette, alerts","/subscription","Shared chrome · App header (default)","Alerts bell, density toggle, theme toggle, Ctrl K button, settings gear on the default header","working","no","e2e (Playwright) · api contract","Same controls as the analyse header"
"HC-SH-020","1","Platform engineer","App shell, settings, tour, assistant, palette, alerts","/subscription","Shared chrome · App header (default)","User avatar button → Account menu","working","no","e2e (Playwright) · api contract","Menu shows name/email, My Profile, My Subscription, My Referrals, Logout"
"HC-SH-021","1","Platform engineer","App shell, settings, tour, assistant, palette, alerts","/subscription","Shared chrome · App header (default)","'Sign In' button when logged out","working","no","e2e (Playwright)","Header re-renders on 'auth'; Sign In navigates to /auth"
"HC-SH-022","1","Platform engineer","App shell, settings, tour, assistant, palette, alerts","/analyse","Shared chrome · Settings menu","Section 'Account': My Profile / My Subscription / My Referrals","working","no","e2e (Playwright) · api contract","My Profile opens the Profile dialog; the others navigate to /subscription and /referrals"
"HC-SH-023","5","Platform engineer","App shell, settings, tour, assistant, palette, alerts","/analyse","Shared chrome · Settings menu","Section 'Preferences': API Settings, Currency Settings (value), Lot Size Settings, P&L Settings (value), Exchange Setup, Alerts (armed count), Keyboard shortcuts (?), Density (value), Command palette (Ctrl K), Market Analytics, Take a tour, theme","working","no","unit (pricing) · e2e (Playwright) · api contract","Each opens the matching dialog / starts the tour / toggles theme"
"HC-SH-024","4","Platform engineer","App shell, settings, tour, assistant, palette, alerts","/analyse","Shared chrome · Settings menu","Section 'Admin' (admin only): Subscription Plans, Menu Pricing, Coupon Codes, User Subscriptions, Banners, Promotional Emails, Users","working","no","e2e (Playwright) · api contract · security","Links to /admin/subscriptions, /admin/menu-pricing, /admin/coupons, /admin/user-subscriptions, /admin/banners, /admin/emails, /admin/users"
"HC-SH-025","4","Platform engineer","App shell, settings, tour, assistant, palette, alerts","/analyse","Shared chrome · Settings menu","Section 'Support': Email Us (mailto:support@hapiecoin.com), WhatsApp Us (wa.me/919684022369, new tab)","working","no","e2e (Playwright) · api contract","External links with rel=noopener"
"HC-SH-026","1","Platform engineer","App shell, settings, tour, assistant, palette, alerts","/analyse","Shared chrome · Settings menu","Logout → Confirm Logout dialog","working","no","e2e (Playwright)","'Are you sure you want to sign out? You'll need to sign in again to access your account.' → CG.auth.logout() + toast 'Logged out · You have been signed out.'"
"HC-SH-027","1","Platform engineer","App shell, settings, tour, assistant, palette, alerts","/analyse","Shared chrome · Profile dialog","Profile · Your account details","working","no","e2e (Playwright)","CG.chrome.openSettings('profile')"
"HC-SH-028","1","Platform engineer","App shell, settings, tour, assistant, palette, alerts","/analyse","Shared chrome · Profile dialog","Avatar picker (rocket / diamond / lightning) · 'Tap to change avatar' · 'Choose your avatar' · Change","working","no","e2e (Playwright)","Tapping the avatar or Change reveals the picker; picking updates CG.mock.user.avatar, header avatar and toasts 'Avatar updated'"
"HC-SH-029","1","Platform engineer","App shell, settings, tour, assistant, palette, alerts","/analyse","Shared chrome · Profile dialog","Fields: Full Name ('Your name'), Mobile ('Mobile number'), Email (read-only), Referral code (+copy), Joined","working","no","e2e (Playwright) · api contract","Read-only until Edit Profile; copy button toasts 'Copied'"
"HC-SH-030","1","Platform engineer","App shell, settings, tour, assistant, palette, alerts","/analyse","Shared chrome · Profile dialog","Edit Profile → Save ('Saving...')","working","no","e2e (Playwright)","Validates name, 600ms 'Saving...' then updates CG.mock.user, emits 'profile-updated', toast 'Profile updated'"
"HC-SH-031","1","Platform engineer","App shell, settings, tour, assistant, palette, alerts","/analyse","Shared chrome · API Settings dialog","Delta Exchange API Settings · status block","working","no","unit (pricing) · e2e (Playwright) · api contract · security","'Checking connection...' spinner (700ms) then 'Not Connected · Enter your Delta Exchange API credentials to enable live trading.' or connected block with 'API Key: ••••1a2b', 'Connected: <date>', 'Wallet: $1,000.00'"
"HC-SH-032","1","Platform engineer","App shell, settings, tour, assistant, palette, alerts","/analyse","Shared chrome · API Settings dialog","Select Exchange (brokers with '(0.05% fee)') + 'Fee: 0.05% · GST: 18% · Cap: 10%'","working","no","unit (pricing) · e2e (Playwright) · api contract · security","Select lists CG.mock.brokers; fee line updates on change; selection stored in CG.mock.apiCredentials.brokerId"
"HC-SH-033","1","Platform engineer","App shell, settings, tour, assistant, palette, alerts","/analyse","Shared chrome · API Settings dialog","API Credentials: API Key + API Secret (password) inputs","working","no","unit (pricing) · e2e (Playwright) · api contract · security","Placeholders 'Enter your Delta Exchange API key' / 'Enter your Delta Exchange API secret'"
"HC-SH-034","1","Platform engineer","App shell, settings, tour, assistant, palette, alerts","/analyse","Shared chrome · API Settings dialog","Connect & Save (validation → 'Connecting...' 1s → connected)","working","no","unit (pricing) · e2e (Playwright) · api contract · security","Empty key/secret → destructive toast 'Save Failed'; success sets CG.state.exchangeConnected, emits 'exchange-changed' + 'broker-credentials-changed', toast 'Exchange Connected · API credentials saved to server'"
"HC-SH-035","1","Platform engineer","App shell, settings, tour, assistant, palette, alerts","/analyse","Shared chrome · API Settings dialog","'Get your API key from Delta Exchange → Account → API Keys' link (new tab)","working","no","unit (pricing) · e2e (Playwright) · api contract · security","External link with rel=noopener noreferrer"
"HC-SH-036","1","Platform engineer","App shell, settings, tour, assistant, palette, alerts","/analyse","Shared chrome · API Settings dialog","Whitelisted IP Address 172.236.179.136 + Copy + hint","working","no","unit (pricing) · e2e (Playwright) · api contract · security","Copy writes to clipboard and toasts 'Copied · IP address copied to clipboard'; hint 'Add this IP to your Delta Exchange API key whitelist for secure access.'"
"HC-SH-037","1","Platform engineer","App shell, settings, tour, assistant, palette, alerts","/analyse","Shared chrome · API Settings dialog","Disconnect Exchange (only when connected)","working","no","unit (pricing) · e2e (Playwright) · api contract · security","Clears credentials, CG.state.exchangeConnected=false, toast 'Exchange Disconnected · Delta Exchange credentials removed'"
"HC-SH-038","1","Platform engineer","App shell, settings, tour, assistant, palette, alerts","/analyse","Shared chrome · Currency Settings dialog","From Currency (USD) → To Currency (INR) + 'USD to INR Conversion Rate' input","working","no","e2e (Playwright)","Rate defaults to CG.state.conversionRate (83.5)"
"HC-SH-039","1","Platform engineer","App shell, settings, tour, assistant, palette, alerts","/analyse","Shared chrome · Currency Settings dialog","Display currency tabs ($ USD / ₹ INR) + note 'All calculated values (P&L, Margin, Net Premium) will be displayed in … · Rate: $1 = ₹83.5'","working","no","unit (pricing) · e2e (Playwright) · security","Note updates live as rate / currency change"
"HC-SH-040","1","Platform engineer","App shell, settings, tour, assistant, palette, alerts","/analyse","Shared chrome · Currency Settings dialog","Save ('Saving...') / Cancel","working","no","e2e (Playwright)","Validates rate > 0; sets CG.state.conversionRate + currency, emits 'currency-settings-changed', toast 'Currency conversion saved'"
"HC-SH-041","1","Platform engineer","App shell, settings, tour, assistant, palette, alerts","/analyse","Shared chrome · Lot Size Settings dialog","Lot size for each symbol: BTC / ETH / XAUT rows '1 lot = [0.001] BTC'","working","no","e2e (Playwright)","Inputs pre-filled from CG.state.lotSizes"
"HC-SH-042","1","Platform engineer","App shell, settings, tour, assistant, palette, alerts","/analyse","Shared chrome · Lot Size Settings dialog","Save → 'Lot sizes saved'","working","no","e2e (Playwright)","Validates > 0 (else 'Failed to save lot sizes'), stores CG.state.lotSizes, emits 'lot-sizes-changed'"
"HC-SH-043","1","Platform engineer","App shell, settings, tour, assistant, palette, alerts","/analyse","Shared chrome · P&L Settings dialog","Radio group 'P&L price basis': Mark price / Bid/Ask (executable) with descriptions","working","no","unit (pricing) · e2e (Playwright)","aria radiogroup; click selects; Save stores CG.state.pnlBasis ('mark' | 'bid_ask') and emits 'pnl-basis-changed'"
"HC-SH-044","1","Platform engineer","App shell, settings, tour, assistant, palette, alerts","/analyse","Shared chrome · P&L Settings dialog","Explanatory note about mark vs bid/ask differences","static","no","visual (screenshot diff) · api contract","Static info alert with the bundle text ('…so the two figures will differ — usually by the bid/ask spread, and more on illiquid strikes.')"
"HC-SH-045","1","Platform engineer","App shell, settings, tour, assistant, palette, alerts","/analyse","Shared chrome · Exchange Management dialog","Exchange Management · Manage exchange configurations for paper trading · list of exchange cards (name, Preferred/GLOBAL badges, Fee %, GST %, Fee Cap %)","working","no","unit (pricing) · e2e (Playwright)","Rendered from CG.mock.brokers"
"HC-SH-046","1","Platform engineer","App shell, settings, tour, assistant, palette, alerts","/analyse","Shared chrome · Exchange Management dialog","Add Exchange → 'Add New Exchange · Configure exchange fee structure' form","working","no","unit (pricing) · e2e (Playwright)","Fields Exchange Name ('e.g., Delta Exchange India'), Fee Percentage (%) 'Percentage of notional value', GST Percentage (%), Fee Cap (% of premium) 'Maximum fee as percentage of premium'; Create pushes to CG.mock.brokers, toast 'Success · Exchange created successfully'"
"HC-SH-047","1","Platform engineer","App shell, settings, tour, assistant, palette, alerts","/analyse","Shared chrome · Exchange Management dialog","Validation 'Exchange name is required'","working","no","unit (pricing) · e2e (Playwright)","Inline error + destructive toast 'Validation Error'"
"HC-SH-048","1","Platform engineer","App shell, settings, tour, assistant, palette, alerts","/analyse","Shared chrome · Exchange Management dialog","Edit → 'Edit Exchange' form → Update","working","no","e2e (Playwright)","Mutates the broker in CG.mock.brokers, toast 'Exchange updated successfully', emits 'brokers-changed'"
"HC-SH-049","1","Platform engineer","App shell, settings, tour, assistant, palette, alerts","/analyse","Shared chrome · Exchange Management dialog","Delete → confirm 'Delete Exchange · This action cannot be undone' + warning","working","no","e2e (Playwright)","Body 'Are you sure you want to delete this exchange?' + '⚠️ Warning: Any strategies using this exchange will need to be reconfigured.'; confirm removes from CG.mock.brokers, toast 'Exchange deleted successfully'"
"HC-SH-050","4","Platform engineer","App shell, settings, tour, assistant, palette, alerts","/analyse","Shared chrome · Plan banner","Expired: 'Your plan has expired.' + Renew Plan","working","no","e2e (Playwright)","CG.chrome['plan-banner'] reads CG.mock.subscription; button → /subscription"
"HC-SH-051","4","Platform engineer","App shell, settings, tour, assistant, palette, alerts","/analyse","Shared chrome · Plan banner","Free: 'Your free plan is active.' + Upgrade","working","no","unit (pricing) · e2e (Playwright)","Shown when planId is p_free / status free"
"HC-SH-052","4","Platform engineer","App shell, settings, tour, assistant, palette, alerts","/analyse","Shared chrome · Plan banner","Expiring: 'Your plan expires soon — N days left.' + Renew Plan","working","no","e2e (Playwright)","Shown when expiresAt is within 7 days of CG.NOW"
"HC-SH-053","4","Platform engineer","App shell, settings, tour, assistant, palette, alerts","/analyse","Shared chrome · Plan banner","Active: 'Congratulations! Your plan is active until 31 Dec 2026' (dismissable)","working","no","unit (pricing) · e2e (Playwright)","Dismiss hides it for the session (sessionStorage); re-renders on 'subscription-changed'"
"HC-SH-054","4","Platform engineer","App shell, settings, tour, assistant, palette, alerts","/analyse","Shared chrome · Upgrade Required dialog","CG.chrome.upgradeRequired(message): 'Upgrade Required' + message + 'Subscribe Here →' + Dismiss","working","no","e2e (Playwright)","Subscribe navigates to /subscription and closes; Dismiss closes"
"HC-SH-055","4","Platform engineer","App shell, settings, tour, assistant, palette, alerts","/analyse","Shared chrome · Banner flyers","Flyer popup carousel of active CG.mock.banners (dark panel with amber accent stripe, ANNOUNCEMENT n of N, title, description, date range)","working","no","unit (pricing) · e2e (Playwright)","CG.chrome.showFlyers(); gradients removed"
"HC-SH-056","4","Platform engineer","App shell, settings, tour, assistant, palette, alerts","/analyse","Shared chrome · Banner flyers","Previous / Next arrows + dots in the footer row, frequency label, 'View' link, close","working","no","e2e (Playwright) · api contract","Arrows cycle; View opens the banner link (hapiecoin.com links become hash routes, others open in a new tab)"
"HC-SH-057","5","Platform engineer","App shell, settings, tour, assistant, palette, alerts","/analyse","Shared chrome · HapieCoin Assistant","Floating 40px chat bubble bottom-right on every screen, docked above the portfolio bar on /analyse (bottom 56px)","working","no","e2e (Playwright)","CSS var --cgc-dock set on route; data-tour=chat-launcher"
"HC-SH-058","4","Platform engineer","App shell, settings, tour, assistant, palette, alerts","/analyse","Shared chrome · HapieCoin Assistant","Drag to move (pointer events) with remembered position","working","no","e2e (Playwright)","Drag > 5px moves the button (clamped to viewport) and stores position in localStorage; a plain click toggles the panel"
"HC-SH-059","5","Platform engineer","App shell, settings, tour, assistant, palette, alerts","/analyse","Shared chrome · HapieCoin Assistant","Panel header 'HapieCoin Assistant · Platform help · not financial advice' (or visitor mode) with an 'Explain this strategy' quick-action button on /analyse","working","no","e2e (Playwright) · api contract","Subtitle depends on CG.state.loggedIn"
"HC-SH-060","4","Platform engineer","App shell, settings, tour, assistant, palette, alerts","/analyse","Shared chrome · HapieCoin Assistant","Greeting 'Hi! Ask me anything about using HapieCoin — or try one of these:' + 4 suggestion chips","working","no","e2e (Playwright) · api contract","Chips send the question immediately"
"HC-SH-061","4","Platform engineer","App shell, settings, tour, assistant, palette, alerts","/analyse","Shared chrome · HapieCoin Assistant","Input 'Ask a question…' + Send; mock streamed answers","working","no","unit (pricing) · e2e (Playwright)","Keyword matching over 11 canned answers (legs/chain, POP, connect Delta, mark vs bid/ask, paper trades, templates, Greeks, margin, lot size, plans, currency) typed out over ~1.5s; fallback answer otherwise; visitor note when logged out"
"HC-SH-062","4","Platform engineer","App shell, settings, tour, assistant, palette, alerts","/analyse","Shared chrome · HapieCoin Assistant","Footer 'Need a human? Email' (mailto:support@hapiecoin.com, new tab)","working","no","e2e (Playwright) · api contract","External mailto link with rel=noreferrer"
"HC-SH-063","4","Platform engineer","App shell, settings, tour, assistant, palette, alerts","/analyse","Shared chrome · HapieCoin Assistant","Close button / Escape closes the panel","working","no","e2e (Playwright)","Panel removed; conversation kept for the session"
"HC-SH-064","4","Platform engineer","App shell, settings, tour, assistant, palette, alerts","/analyse","Shared chrome · Product tour","driver.js-style overlay with cut-out around the target (SVG mask) + highlight ring + popover (title, description, 'x of N', Previous / Next / Done, close)","working","no","unit (pricing) · e2e (Playwright)","CG.chrome.startTour(); targets located by [data-tour=…]; popover centred when the target is not in the DOM; keyboard ← → Esc"
"HC-SH-065","4","Platform engineer","App shell, settings, tour, assistant, palette, alerts","/analyse","Shared chrome · Product tour","Step 1 'Welcome to HapieCoin' (Start button, no target)","working","no","e2e (Playwright) · api contract","Text from the bundle"
"HC-SH-066","4","Platform engineer","App shell, settings, tour, assistant, palette, alerts","/analyse","Shared chrome · Product tour","Step 2 'Choose your asset' (asset-select)","working","no","e2e (Playwright)","Highlights the asset selector"
"HC-SH-067","4","Platform engineer","App shell, settings, tour, assistant, palette, alerts","/analyse","Shared chrome · Product tour","Step 3 'Your workspaces' (options-chain)","working","no","e2e (Playwright)","Highlights the workspace / chain area; emits tour-step with tab 'options-chain'"
"HC-SH-068","4","Platform engineer","App shell, settings, tour, assistant, palette, alerts","/analyse","Shared chrome · Product tour","Step 4 'Add a leg — try it now' (advances on 'cg-tour:leg-added')","working","no","e2e (Playwright)","Waits for the analyse screen to emit CG.emit('cg-tour:leg-added'); Next also works"
"HC-SH-069","4","Platform engineer","App shell, settings, tour, assistant, palette, alerts","/analyse","Shared chrome · Product tour","Step 5 'Your strategy legs' (strategy-legs, tab builder)","working","no","e2e (Playwright)","Highlights the legs panel"
"HC-SH-070","4","Platform engineer","App shell, settings, tour, assistant, palette, alerts","/analyse","Shared chrome · Product tour","Step 6 'Payoff and analytics' (payoff-panel)","working","no","unit (pricing) · e2e (Playwright)","Highlights the payoff panel"
"HC-SH-071","4","Platform engineer","App shell, settings, tour, assistant, palette, alerts","/analyse","Shared chrome · Product tour","Step 7 'Start a paper trade' (paper-trade-button, advances on 'cg-tour:save-dialog-open')","working","no","e2e (Playwright)","Highlights the Paper Trade button"
"HC-SH-072","4","Platform engineer","App shell, settings, tour, assistant, palette, alerts","/analyse","Shared chrome · Product tour","Step 8 'Name your strategy' (save-dialog, advances on 'cg-tour:trade-modal-open')","working","no","unit (pricing) · e2e (Playwright)","Popover above the modal (z-index 150)"
"HC-SH-073","4","Platform engineer","App shell, settings, tour, assistant, palette, alerts","/analyse","Shared chrome · Product tour","Step 9 'Review and start' (trade-modal, advances on 'cg-tour:paper-started')","working","no","e2e (Playwright)","Highlights the trade preview modal"
"HC-SH-074","4","Platform engineer","App shell, settings, tour, assistant, palette, alerts","/analyse","Shared chrome · Product tour","Steps 10–12 'Your trade is running' (paper-tab), 'Track P&L and details' (paper-pnl), 'Stop a paper trade' (paper-stop)","confirmed","no","unit (pricing) · e2e (Playwright)","Tour step 12 text: 'Stop a paper trade — Use Stop when you are done. Choose whether to archive it so the result stays in your journal.' Steps 10–12 switch the left tab to Paper automatically."
"HC-SH-075","5","Platform engineer","App shell, settings, tour, assistant, palette, alerts","/analyse","Shared chrome · Product tour","Steps 13–15 'Settings' (settings-menu), 'Ask the HapieCoin Assistant' (chat-launcher) and 'Command palette' (command-palette)","working","no","e2e (Playwright) · api contract","Highlights the gear and the floating chat button; Done closes with a toast"
"HC-SH-076","4","Platform engineer","App shell, settings, tour, assistant, palette, alerts","/analyse","Shared chrome · Product tour","Auto-start once on /analyse (CG.state.tourDone) after the flyer popup closes; 'Take a tour' restarts; navigates to /analyse first if started elsewhere","working","no","unit (pricing) · e2e (Playwright)","cg_tour_done equivalent persisted in CG.state via CG.saveState()"
"HC-SH-077","5","Platform engineer","App shell, settings, tour, assistant, palette, alerts","/analyse","Shared chrome · App header (analyse)","ATM IV + 'IV rank N' (mono)","working","yes","unit (pricing) · e2e (Playwright)","From CG.analyse.stats {atmIv, ivRank} when the analyse part emits 'analyse:stats'; otherwise computed from the ATM row of CG.chain(asset, expiry) and a per-asset IV range (CG.mock.ivRange). Exposed as CG.chrome.marketStats(asset)"
"HC-SH-078","5","Platform engineer","App shell, settings, tour, assistant, palette, alerts","/analyse","Shared chrome · App header (analyse)","'EXP. MOVE · 25 SEP  ± 7,693 1σ' expected move for the selected expiry","working","yes","unit (pricing) · e2e (Playwright)","spot × ATM IV × √(dte/365); re-rendered on tick, 'asset', 'expiry', 'analyse:expiry' and 'analyse:stats'"
"HC-SH-079","5","Platform engineer","App shell, settings, tour, assistant, palette, alerts","/analyse","Shared chrome · App header (analyse)","Alerts bell with armed-count badge (red when an alert has triggered) → Alerts dialog","working","yes","e2e (Playwright) · api contract","Badge re-rendered on 'alerts-changed' / 'alert-triggered'"
"HC-SH-080","5","Platform engineer","App shell, settings, tour, assistant, palette, alerts","/analyse","Shared chrome · App header (analyse)","Density toggle (comfortable / compact)","working","yes","e2e (Playwright)","Sets CG.state.density, CG.saveState(), CG.emit('density', value) and html[data-density]; --cg-row = 36px / 28px; keyboard D"
"HC-SH-081","5","Platform engineer","App shell, settings, tour, assistant, palette, alerts","/analyse","Shared chrome · App header (analyse)","'Ctrl K · Command' button opens the command palette (data-tour=command-palette)","working","yes","e2e (Playwright)","Behaves as in the v2 mock."
"HC-SH-082","5","Platform engineer","App shell, settings, tour, assistant, palette, alerts","/analyse","Shared chrome · App header (analyse)","User avatar → Account menu (My Profile / My Subscription / My Referrals / Logout) on both header variants","working","yes","e2e (Playwright) · api contract","Behaves as in the v2 mock."
"HC-SH-083","5","Platform engineer","App shell, settings, tour, assistant, palette, alerts","/analyse","Shared chrome · App header (analyse)","Responsive trimming: venue and Command label hide ≤1500px, expected move ≤1330px, ATM IV ≤1180px, sub-labels ≤1000px","working","yes","unit (pricing) · e2e (Playwright)","CSS media queries; header never overflows at 1440 / 1280 / 1100 / 960 (pw/check-v2-widths.js)"
"HC-SH-084","5","Platform engineer","App shell, settings, tour, assistant, palette, alerts","/subscription","Shared chrome · App header (default)","Logged-out variant: Home · Market Analytics tabs, theme, Ctrl K, 'Sign in' primary button","working","yes","e2e (Playwright)","Behaves as in the v2 mock."
"HC-SH-085","5","Platform engineer","App shell, settings, tour, assistant, palette, alerts","/analyse","Shared chrome · Command palette","Open with Ctrl K / ⌘ K anywhere (even inside inputs), the header button, Settings → Command palette or CG.palette.open()","working","yes","e2e (Playwright)","CG.palette.open(query?) / close() / toggle() / isOpen(); overlay closes on Esc or backdrop click"
"HC-SH-086","5","Platform engineer","App shell, settings, tour, assistant, palette, alerts","/analyse","Shared chrome · Command palette","Search input with fuzzy matching on label + keywords + hint (substring first, then subsequence with word-start bonus); matched characters underlined","working","yes","e2e (Playwright)","Best hit surfaced first as “Best match”"
"HC-SH-087","5","Platform engineer","App shell, settings, tour, assistant, palette, alerts","/analyse","Shared chrome · Command palette","Grouped results: Recent · Navigate · Actions · Settings (custom groups appended)","working","yes","e2e (Playwright)","Recent shows the last 5 used commands (CG.state.recentCommands, persisted via CG.saveState)"
"HC-SH-088","5","Platform engineer","App shell, settings, tour, assistant, palette, alerts","/analyse","Shared chrome · Command palette","Keyboard: ↑ ↓ / Tab move, ↵ runs, Esc closes; mouse hover selects, click runs","working","yes","e2e (Playwright)","Footer shows the key hints and the number of registered commands"
"HC-SH-089","5","Platform engineer","App shell, settings, tour, assistant, palette, alerts","/analyse","Shared chrome · Command palette","Registry API for other parts: CG.palette.register({id,label,group,keywords,hint,kbd,icon,when,run}) → unregister fn; CG.palette.unregister(id); CG.palette.list(); CG.palette.run(id)","working","yes","e2e (Playwright) · api contract","Emits 'palette:open', 'palette:close', 'palette:run' {id,label}"
"HC-SH-090","5","Platform engineer","App shell, settings, tour, assistant, palette, alerts","/analyse","Shared chrome · Command palette","Default Navigate commands: Home, Sign in, Analyse workspace, My Subscription, My Referrals, all Admin pages, all Market Analytics sections, all Terminal pages, Feature inventory, Payoff chart preview, legal pages","working","yes","unit (pricing) · e2e (Playwright) · api contract · security","User routes only when logged in, admin routes only for admins; every other static screen is auto-discovered from section[data-route][data-title] on open"
"HC-SH-091","5","Platform engineer","App shell, settings, tour, assistant, palette, alerts","/analyse","Shared chrome · Command palette","Default Actions: Switch asset → BTC / ETH / XAUT, Toggle theme (T), Toggle density (D), New alert…, Alerts center, Take a tour, Keyboard shortcuts (?), Explain this strategy (on /analyse), Ask the assistant, Show announcements, Pause / resume live feed, Logout","working","yes","unit (pricing) · e2e (Playwright) · api contract · security","Behaves as in the v2 mock."
"HC-SH-092","5","Platform engineer","App shell, settings, tour, assistant, palette, alerts","/analyse","Shared chrome · Command palette","Default Settings: Open API Settings / Currency Settings / Lot Size Settings / P&L Settings / Exchange Setup / Profile, Display currency → INR/USD","working","yes","unit (pricing) · e2e (Playwright) · api contract","Behaves as in the v2 mock."
"HC-SH-093","5","Platform engineer","App shell, settings, tour, assistant, palette, alerts","/analyse","Shared chrome · Command palette","Empty state “No commands match …” with hints","working","yes","e2e (Playwright)","Behaves as in the v2 mock."
